,0,1
277,mac2_os_count,11
278,mac1_os_count,10
279,wifi_os_count,10
280,ip1_sub_os_count,10
281,device_code3_max_y,9
282,acc_id2_min,9
283,ip2_day_count,9
284,channel,9
285,market_code_sum,8
286,channel_median,8
287,mac1_x,8
288,acc_id1_median,7
289,bal_max,7
290,bal_var,7
291,acc_id2_mean,7
292,trans_type1_median,7
293,mac1_var_y,7
294,amt_src2,7
295,device_code2_var_y,6
296,amt_src2_max,6
297,device_code3_y,6
298,acc_id2_sum,6
299,acc_id2,5
300,mac1_trans_amt_count,5
301,code1_median,5
302,ip2_sub_day_count,5
303,device_code3_mean_y,5
304,device_code3_mean_x,5
305,bal_mean,4
306,device1_max_x,4
307,acc_id3_day_count,4
308,day_count_x,4
309,ip1_channel_count,4
310,acc_id3_min,3
311,acc_id2_var,3
312,success,3
313,version_max,3
314,mode_count,3
315,ip2_os_count,3
316,acc_id3_sum,3
317,mac1_version_count,3
318,success_min,3
319,device_code3_min_y,2
320,acc_id1_amt_src1_count,2
321,wifi_version_count,2
322,mac2_version_count,2
323,acc_id1,1
324,mac1_median_x,1
325,acc_id3_median,1
326,device_code3_max_x,1
327,acc_id1_trans_amt_count,1
328,ip1_sub_trans_amt_count,1
329,acc_id3_mean,1
330,bal_median,1
331,ip1_version_count,1
332,code2_sum,1
333,trans_type1,1
334,ip1_sub_version_count,1
335,ip1_device1_count_x,1
336,ip1_sub_amt_src1_count,1
