iter	Logloss
0	0.6438754678
1	0.6011962364
2	0.5659778808
3	0.533593655
4	0.5047165096
5	0.4798435048
6	0.4584960783
7	0.4402597763
8	0.4241004344
9	0.4093380447
10	0.396084652
11	0.3842624274
12	0.3746110886
13	0.3637645807
14	0.3554740166
15	0.3480196092
16	0.3406637565
17	0.3350194192
18	0.3291059415
19	0.3238995508
20	0.31981156
21	0.3160465404
22	0.3116319167
23	0.3080187481
24	0.3046999088
25	0.3014106504
26	0.2987052436
27	0.2955921628
28	0.2927074634
29	0.2903154836
30	0.2879242933
31	0.2866640249
32	0.2844682492
33	0.2830052752
34	0.2816000004
35	0.2803442871
36	0.2792011099
37	0.2782964141
38	0.2765034995
39	0.2750359661
40	0.2736453517
41	0.2727634507
42	0.2719180251
43	0.2711145001
44	0.2694814233
45	0.2687411374
46	0.2678258467
47	0.2665479978
48	0.2658877216
49	0.2649322909
50	0.2643800064
51	0.2632313673
52	0.2627814358
53	0.262044988
54	0.2611502553
55	0.2597624754
56	0.2592932266
57	0.2581399563
58	0.2577926826
59	0.2572980489
60	0.2562952335
61	0.2559097473
62	0.2550745239
63	0.2545451638
64	0.2534916313
65	0.2531841194
66	0.252883799
67	0.2523769189
68	0.2520179297
69	0.2517679093
70	0.251099907
71	0.2505786964
72	0.250276132
73	0.250034991
74	0.2497602015
75	0.2494479451
76	0.2490599552
77	0.2488195098
78	0.248119832
79	0.2476831584
80	0.2474192213
81	0.2466743481
82	0.2464557591
83	0.2461180869
84	0.2459389948
85	0.2456335063
86	0.2453696611
87	0.2447778212
88	0.2445214034
89	0.2439686652
90	0.2436057111
91	0.2433407386
92	0.2429984965
93	0.242701633
94	0.2424745227
95	0.242268964
96	0.2421053038
97	0.2419144288
98	0.2416869663
99	0.2415326243
100	0.2413644909
101	0.2409359999
102	0.240502539
103	0.2403119362
104	0.2401021117
105	0.2399720618
106	0.2397922231
107	0.2396263677
108	0.2394209404
109	0.2391598767
110	0.2390251039
111	0.2388259066
112	0.2386778104
113	0.2385368506
114	0.2383880762
115	0.2380145862
116	0.2378787015
117	0.2376965007
118	0.2375098151
119	0.2372400928
120	0.2370727108
121	0.2369014337
122	0.2366773475
123	0.2365267612
124	0.2364093526
125	0.2362205963
126	0.2361209102
127	0.2359691755
128	0.2357648204
129	0.2355408605
130	0.235418605
131	0.2352044896
132	0.2349793266
133	0.2347923873
134	0.2345841117
135	0.2344339497
136	0.2342970507
137	0.2341052687
138	0.2339451615
139	0.2338391112
140	0.2337653528
141	0.233524143
142	0.2332278507
143	0.2330452014
144	0.2329167856
145	0.2326882625
146	0.2325074175
147	0.232292974
148	0.232073298
149	0.2318779086
150	0.2315250087
151	0.2313233173
152	0.2311277207
153	0.2309565655
154	0.2306540876
155	0.2305286831
156	0.2303852423
157	0.2302527627
158	0.2301182449
159	0.2298508085
160	0.2296989798
161	0.2295695242
162	0.2294049339
163	0.2292189638
164	0.2290386851
165	0.2288637509
166	0.2287515594
167	0.2285291762
168	0.2284210894
169	0.2282526906
170	0.2280498166
171	0.227954575
172	0.2278723646
173	0.2277778
174	0.2275614681
175	0.227467742
176	0.2273292291
177	0.2271627619
178	0.2270997945
179	0.2269792317
180	0.226821665
181	0.2267200637
182	0.2266104578
183	0.2264261643
184	0.2263066573
185	0.2259884167
186	0.2258981788
187	0.22580831
188	0.2257377894
189	0.2256557146
190	0.2255731795
191	0.2254319405
192	0.2252629502
193	0.2251010175
194	0.2249972506
195	0.2249150375
196	0.2247195816
197	0.2245515172
198	0.2243908431
199	0.2242527183
200	0.2241354638
201	0.2240504946
202	0.2239084358
203	0.2238422468
204	0.2237655291
205	0.223695521
206	0.2236143482
207	0.2234646398
208	0.2233434233
209	0.2232689089
210	0.2231581609
211	0.2230211857
212	0.2228736348
213	0.2226256428
214	0.2225418335
215	0.2224650803
216	0.2224027428
217	0.2223526301
218	0.2222501581
219	0.2221523571
220	0.2220690784
221	0.2219807256
222	0.221893012
223	0.2217353857
224	0.2212872878
225	0.221120734
226	0.2210544145
227	0.2209481091
228	0.2208480862
229	0.2207783788
230	0.220696147
231	0.2205721731
232	0.2205318712
233	0.2204565073
234	0.2203651815
235	0.2202347675
236	0.2201306928
237	0.2200565368
238	0.2199707868
239	0.2198890521
240	0.2196804374
241	0.2195563647
242	0.2194684018
243	0.21940193
244	0.2193223525
245	0.2192019305
246	0.2191641397
247	0.2191060052
248	0.2190121472
249	0.2189302724
250	0.218820514
251	0.2187306601
252	0.2186183259
253	0.2184953097
254	0.2184215587
255	0.2183655517
256	0.2182992082
257	0.2182350688
258	0.218178077
259	0.2180178302
260	0.2179265914
261	0.2178608515
262	0.2177750982
263	0.2176802791
264	0.2175063752
265	0.2173932232
266	0.2173350479
267	0.217161612
268	0.217056653
269	0.2168254249
270	0.2167578651
271	0.2167002914
272	0.2166640205
273	0.2165769859
274	0.2164879309
275	0.2163638125
276	0.2162164677
277	0.2161043284
278	0.2160261396
279	0.215904095
280	0.215857121
281	0.2157498741
282	0.2156424525
283	0.2155462739
284	0.2154149989
285	0.2153179626
286	0.2152823742
287	0.215189215
288	0.2150431931
289	0.2148825155
290	0.2148351632
291	0.2147621987
292	0.2146797584
293	0.2145489496
294	0.2144677664
295	0.2144125459
296	0.2142273154
297	0.2141359814
298	0.2140087861
299	0.2139464386
300	0.2138422924
301	0.213760146
302	0.2136506602
303	0.213567637
304	0.2134043472
305	0.2133011049
306	0.2132327115
307	0.2131576505
308	0.2131100233
309	0.2129773075
310	0.2129115479
311	0.2128188261
312	0.212769583
313	0.2127067011
314	0.212575832
315	0.2125239097
316	0.2124503636
317	0.21239102
318	0.2123519722
319	0.2122965056
320	0.2122178285
321	0.2121693287
322	0.2120881404
323	0.2119786085
324	0.2118875051
325	0.2118229746
326	0.2117783346
327	0.2117338585
328	0.2116884631
329	0.211614658
330	0.2115738664
331	0.2115167218
332	0.2114345309
333	0.2113826024
334	0.2112727561
335	0.2112070582
336	0.2110921768
337	0.2108850999
338	0.2108386718
339	0.2107744312
340	0.2106986707
341	0.2106167227
342	0.2105950859
343	0.2105019435
344	0.2104478821
345	0.2103803036
346	0.2103096563
347	0.210273579
348	0.2101790148
349	0.2100808835
350	0.2099969167
351	0.2099063469
352	0.2098352415
353	0.2097390147
354	0.2096746836
355	0.2096275157
356	0.2095669561
357	0.209525044
358	0.2094480522
359	0.2093441559
360	0.209286097
361	0.2091665492
362	0.2091080922
363	0.2090307095
364	0.2089769915
365	0.2088882542
366	0.2088176177
367	0.2087709953
368	0.2087342215
369	0.208674504
370	0.208628338
371	0.2085820538
372	0.2085139792
373	0.2084544773
374	0.208368404
375	0.2083242668
376	0.2082817427
377	0.2082467403
378	0.2081855565
379	0.2080711815
380	0.2079663694
381	0.2079320384
382	0.2078904006
383	0.2078172025
384	0.2077261641
385	0.2076495018
386	0.2075918803
387	0.2075399506
388	0.2074908033
389	0.2074562831
390	0.2074139203
391	0.2073669402
392	0.2073313821
393	0.2072605295
394	0.2072233791
395	0.2071716884
396	0.2071918944
